CID,IUPACName,IsomericSMILES,MolecularFormula,MolecularWeight,Synonyms,HBondDonorCount,HBondAcceptorCount
"129907609","14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16(24),17,19(23)-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=C(N5)C=C(C=C6)C(=O)O)CCCN(C)C","C31H32N6O6","584.6","['bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907609","14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16(24),17,19(23)-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=C(N5)C=C(C=C6)C(=O)O)CCCN(C)C","C31H32N6O6","584.6","['bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907609","14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16(24),17,19(23)-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=C(N5)C=C(C=C6)C(=O)O)CCCN(C)C","C31H32N6O6","584.6","['bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907609","14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16(24),17,19(23)-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=C(N5)C=C(C=C6)C(=O)O)CCCN(C)C","C31H32N6O6","584.6","['bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907609","14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16(24),17,19(23)-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=C(N5)C=C(C=C6)C(=O)O)CCCN(C)C","C31H32N6O6","584.6","['bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907609","14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16(24),17,19(23)-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=C(N5)C=C(C=C6)C(=O)O)CCCN(C)C","C31H32N6O6","584.6","['bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907609","14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16(24),17,19(23)-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)NC6=C(N5)C=C(C=C6)C(=O)O)CCCN(C)C","C31H32N6O6","584.6","['bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907621","17-bromo-14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16,18,23-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCCN(C)C)NC6=C(N5)C=C(C=C6)C(=O)O)C1=O)Br","C31H31BrN6O6","663.5","['bromo-bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907621","17-bromo-14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16,18,23-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCCN(C)C)NC6=C(N5)C=C(C=C6)C(=O)O)C1=O)Br","C31H31BrN6O6","663.5","['bromo-bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
"129907621","17-bromo-14,21-bis[3-(dimethylamino)propyl]-13,15,20,22-tetraoxo-3,10,14,21-tetrazahexacyclo[10.10.2.02,11.04,9.016,24.019,23]tetracosa-1,4(9),5,7,11,16,18,23-octaene-6-carboxylic acid","CN(C)CCCN1C(=O)C2=CC(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCCN(C)C)NC6=C(N5)C=C(C=C6)C(=O)O)C1=O)Br","C31H31BrN6O6","663.5","['bromo-bis[3-(dimethylamino)propyl]-tetraoxo-[?]carboxylic acid']","3","10"
